FIR No.,FIR Date,Unit Name,PS Name,Crime Head,Occurrence From,Occurrence To,MO - Tools,MO - Entry Point,MO - Entry,MO - Premises,MO - Search,Accused Count,MO - Concealment,MO - Target,Property Lost,Came By,Fled By,Vehicle Category,MO - Vehicle Start,Place Of Theft,Offender Vehicle,Victim Was,Fled Towards,ATM Location Type,MO - ATM,Alarm,Brief Facts
KA-MYS-03/0001/2021,04-Jan-2021 0823 hrs,Mysuru,KA-MYS-03,Cheating - ATM,01-Jan-2021 1640 hrs,03-Jan-2021 0102 hrs,Gas Welding Set,,,,,Single,Face Covered,Random,Cash,Bike,,,,,,,,WLA,Gas Cutting,,"It is alleged that between 01-Jan-2021 1640 hrs and 03-Jan-2021 0102 hrs unknown accused committed ATM tampering within Mysuru. It is stated that the accused took cash, fled on a two-wheeler, appear to have picked the target by chance, came on a two-wheeler, cut the machine open with gas and targeted a white-label ATM. Street lights in the area were reported not working. The complainant has submitted bills for some of the items."
KA-BEL-06/0001/2021,04-Jan-2021 1832 hrs,Belagavi,KA-BEL-06,Theft - Vehicle,02-Jan-2021,03-Jan-2021,None Observed,,,,,Gang (4+),None,Random,Vehicle,Bike,Bike,Motorcycle,Handle Lock Broken,,,,,,,,"It is alleged that between 02-Jan-2021 and 03-Jan-2021 unknown accused committed vehicle theft within Belagavi. It is stated that the accused were a group of four or more, broke the handle lock, left no sign of tools, came on a two-wheeler, made no attempt to avoid identification, fled on a two-wheeler, appear to have picked the target by chance and took a vehicle. Neighbours stated they did not hear anything unusual. It had been raining heavily that evening."
KA-KAL-04/0001/2021,05-Jan-2021 0246 hrs,Kalaburagi,KA-KAL-04,Cheating - ATM,03-Jan-2021 1140 hrs,04-Jan-2021 0828 hrs,None Observed,,,,,,Face Covered,Pre-Surveyed,Cash,Bike,Bike,,,,,,,Offsite,Cash Trapping,Disabled,"Brief facts: the complainant states that on or between 03-Jan-2021 1140 hrs and 04-Jan-2021 0828 hrs a ATM tampering was committed in Kalaburagi limits. It is stated that the accused came on a two-wheeler, fitted a cash trap, targeted an offsite ATM kiosk, disabled the alarm, fled on a two-wheeler, appear to have watched the place beforehand and took cash. A spot panchnama was drawn up in the presence of witnesses. The complainant has submitted bills for some of the items."
KA-KAL-04/0002/2021,05-Jan-2021 0935 hrs,Kalaburagi,KA-KAL-04,Theft - Vehicle,03-Jan-2021 1509 hrs,04-Jan-2021 0540 hrs,Cutting Plier,,,,,Two-Three,None,Pre-Surveyed,Vehicle,Walking,Bike,,Key Left In Vehicle,Road Side,,,,,,,"Brief facts: the complainant states that on or between 03-Jan-2021 1509 hrs and 04-Jan-2021 0540 hrs a vehicle theft was committed in Kalaburagi limits. It is stated that the accused appear to have watched the place beforehand, took it from the roadside, came on foot, found the key left in the vehicle, were two or three persons, made no attempt to avoid identification and fled on a two-wheeler. A spot panchnama was drawn up in the presence of witnesses."
KA-KAL-02/0001/2021,05-Jan-2021 1454 hrs,Kalaburagi,KA-KAL-02,Theft - Chain Snatching,03-Jan-2021 0219 hrs,03-Jan-2021 0223 hrs,None Observed,,,,,Single,None,Random,Gold Jewellery,Bike,Bike,,,,Scooter,Shopping,Cross Roads,,,,"It is alleged that between 03-Jan-2021 0219 hrs and 03-Jan-2021 0223 hrs unknown accused committed chain snatching within Kalaburagi. It is stated that the accused acted alone, came on a two-wheeler, left no sign of tools, appear to have picked the target by chance, escaped through the lanes, fled on a two-wheeler, rode a scooter, made no attempt to avoid identification, targeted a victim who was shopping and took gold ornaments. The beat constable had passed the area about an hour earlier. A relative of the complainant was the first to notice."
KA-MYS-01/0002/2021,05-Jan-2021 2356 hrs,Mysuru,KA-MYS-01,Burglary - Dwelling,05-Jan-2021,05-Jan-2021,Screwdriver,Terrace,Forced - grill cut,Apartment,,Two-Three,Face Covered,Random,Electronics,Bike,Bike,,,,,,,,,,"Brief facts: the complainant states that on or between 05-Jan-2021 and 05-Jan-2021 a house burglary was committed in Mysuru limits. It is stated that the accused fled on a two-wheeler, were two or three persons, got in through the roof, appear to have picked the target by chance, cut the grill, used a screwdriver, targeted an apartment and had their faces covered. The complainant noticed the incident on returning and informed the police. A relative of the complainant was the first to notice."
KA-BEN-01/0001/2021,06-Jan-2021 0532 hrs,Bengaluru Urban,KA-BEN-01,Theft - Chain Snatching,05-Jan-2021 1041 hrs,05-Jan-2021 1046 hrs,,,,,,Two-Three,Face Covered,Pre-Surveyed,Gold Jewellery / Electronics,,,,,,,Waiting For Bus,Highway,,,,"Brief facts: the complainant states that on or between 05-Jan-2021 1041 hrs and 05-Jan-2021 1046 hrs a chain snatching was committed in Bengaluru Urban limits. It is stated that the accused targeted a victim waiting for transport, took gold ornaments, took electronic items, appear to have watched the place beforehand, struck during the day, escaped towards the highway, came on a two-wheeler, were two or three persons and had their faces covered. Neighbours stated they did not hear anything unusual."
KA-MYS-06/0001/2021,06-Jan-2021 0802 hrs,Mysuru,KA-MYS-06,Theft - Chain Snatching,05-Jan-2021 0620 hrs,05-Jan-2021 0626 hrs,None Observed,,,,,Two-Three,Face Covered,Random,Gold Jewellery,Bike,Bike,,,,Motorcycle,Walking On Road,,,,,"Brief facts: the complainant states that on or between 05-Jan-2021 0620 hrs and 05-Jan-2021 0626 hrs a chain snatching was committed in Mysuru limits. It is stated that the accused left no sign of tools, fled on a two-wheeler, targeted a victim who was walking, appear to have picked the target by chance, were two or three persons, rode a motorcycle, came on a two-wheeler, took gold ornaments and had their faces covered. Street lights in the area were reported not working. Nearby shops were closed at the time."
KA-KAL-04/0003/2021,06-Jan-2021 1133 hrs,Kalaburagi,KA-KAL-04,Burglary - Dwelling,05-Jan-2021 1714 hrs,06-Jan-2021 0141 hrs,Screwdriver,Window,Forced - lock,Independent House,Selective Search,Two-Three,Gloves Worn,Pre-Surveyed,Gold Jewellery / Cash,Bike,Walking,,,,,,,,,,"Brief facts: the complainant states that on or between 05-Jan-2021 1714 hrs and 06-Jan-2021 0141 hrs a house burglary was committed in Kalaburagi limits. It is stated that the accused fled on foot, used a screwdriver, broke the lock, struck during the day, wore gloves, were two or three persons, got in through a window, targeted an independent house, came on a two-wheeler, took gold ornaments, took cash, appear to have watched the place beforehand and took only selected valuables. The complainant does not suspect anyone. Enquiries with nearby residents are in progress."
KA-BEN-03/0001/2021,06-Jan-2021 1223 hrs,Bengaluru Urban,KA-BEN-03,Theft - Chain Snatching,05-Jan-2021 0339 hrs,05-Jan-2021 0343 hrs,None Observed,,,,,Two-Three,None,Random,Gold Jewellery,,Walking,,,,No Vehicle,Morning Walk,,,,,"Brief facts: the complainant states that on or between 05-Jan-2021 0339 hrs and 05-Jan-2021 0343 hrs a chain snatching was committed in Bengaluru Urban limits. It is stated that the accused fled on foot, took gold ornaments, targeted a victim on a morning walk, used no vehicle, were two or three persons, left no sign of tools, struck at night and made no attempt to avoid identification. The complainant noticed the incident on returning and informed the police. The beat constable had passed the area about an hour earlier."
KA-DHA-03/0001/2021,06-Jan-2021 1420 hrs,Dharwad,KA-DHA-03,Theft - Chain Snatching,05-Jan-2021 0626 hrs,05-Jan-2021 0632 hrs,None Observed,,,,,Two-Three,None,Random,Gold Jewellery / Electronics,Walking,Bike,,,,,Walking On Road,Cross Roads,,,,"Brief facts: the complainant states that on or between 05-Jan-2021 0626 hrs and 05-Jan-2021 0632 hrs a chain snatching was committed in Dharwad limits. It is stated that the accused left no sign of tools, fled on a two-wheeler, made no attempt to avoid identification, struck early in the morning, were two or three persons, took gold ornaments, took electronic items and targeted a victim who was walking. Nearby shops were closed at the time. The dog squad was summoned to the spot."
KA-MYS-06/0002/2021,06-Jan-2021 2132 hrs,Mysuru,KA-MYS-06,Theft - Vehicle,05-Jan-2021 1459 hrs,06-Jan-2021 0605 hrs,Screwdriver,,,,,Single,None,Random,Vehicle,Bike,Bike,Scooter,Master Key,Road Side,,,,,,,"Brief facts: the complainant states that on or between 05-Jan-2021 1459 hrs and 06-Jan-2021 0605 hrs a vehicle theft was committed in Mysuru limits. It is stated that the accused started it with a duplicate key, used a screwdriver, took a vehicle, took it from the roadside, acted alone, made no attempt to avoid identification, fled on a two-wheeler and appear to have picked the target by chance. Street lights in the area were reported not working. The complainant has submitted bills for some of the items."
KA-KAL-05/0002/2021,06-Jan-2021 2152 hrs,Kalaburagi,KA-KAL-05,Cheating - ATM,05-Jan-2021 2032 hrs,06-Jan-2021 1157 hrs,,,,,,Single,None,Pre-Surveyed,,,Bike,,,,,,,Onsite,Gas Cutting,Working,"Brief facts: the complainant states that on or between 05-Jan-2021 2032 hrs and 06-Jan-2021 1157 hrs a ATM tampering was committed in Kalaburagi limits. It is stated that the accused acted alone, fled on a two-wheeler, made no attempt to avoid identification, left the alarm untouched, targeted an ATM at a bank branch, cut the machine open with gas and appear to have watched the place beforehand. The complainant does not suspect anyone. The beat constable had passed the area about an hour earlier."
KA-MYS-01/0003/2021,07-Jan-2021 0537 hrs,Mysuru,KA-MYS-01,Theft - Vehicle,03-Jan-2021 2349 hrs,04-Jan-2021 0446 hrs,Screwdriver,,,,,Two-Three,None,Random,Vehicle,Walking,Bike,Motorcycle,Master Key,Bus/Railway Station,,,,,,,"The complainant lodged a complaint at KA-MYS-01 regarding vehicle theft between 03-Jan-2021 2349 hrs and 04-Jan-2021 0446 hrs. It is stated that the accused appear to have picked the target by chance, stole a motorcycle, started it with a duplicate key, fled on a two-wheeler, made no attempt to avoid identification, took it from station parking, came on foot and used a screwdriver. The total value of the stolen property is estimated at Rs. 247,366. The complainant noticed the incident on returning and informed the police."
KA-BEN-05/0002/2021,07-Jan-2021 0750 hrs,Bengaluru Urban,KA-BEN-05,Theft - Chain Snatching,06-Jan-2021 0404 hrs,06-Jan-2021 0408 hrs,,,,,,,None,Insider Tip,Gold Jewellery,Bike,Bike,,,,,,,,,,"It is alleged that between 06-Jan-2021 0404 hrs and 06-Jan-2021 0408 hrs unknown accused committed chain snatching within Bengaluru Urban. It is stated that the accused took gold ornaments, made no attempt to avoid identification, appear to have had inside information, struck early in the morning and came on a two-wheeler. Fingerprint experts visited the scene. Neighbours stated they did not hear anything unusual."
KA-MYS-03/0002/2021,07-Jan-2021 1512 hrs,Mysuru,KA-MYS-03,Burglary - Dwelling,05-Jan-2021 1551 hrs,06-Jan-2021 0405 hrs,,Door,Forced - door,Independent House,Ransacked,Two-Three,Gloves Worn,Pre-Surveyed,Cash,Walking,Walking,,,,,,,,,,"It is alleged that between 05-Jan-2021 1551 hrs and 06-Jan-2021 0405 hrs unknown accused committed house burglary within Mysuru. It is stated that the accused wore gloves, got in through the door, forced the door open, took cash, targeted an independent house, ransacked the place, appear to have watched the place beforehand, came on foot, were two or three persons and fled on foot. The complainant noticed the incident on returning and informed the police. Neighbours stated they did not hear anything unusual."
KA-KAL-02/0002/2021,07-Jan-2021 1646 hrs,Kalaburagi,KA-KAL-02,Theft - Vehicle,07-Jan-2021 0520 hrs,07-Jan-2021 0918 hrs,Screwdriver,,,,,Gang (4+),None,Insider Tip,Vehicle,Bike,Bike,Motorcycle,,Market,,,,,,,"It is alleged that between 07-Jan-2021 0520 hrs and 07-Jan-2021 0918 hrs unknown accused committed vehicle theft within Kalaburagi. It is stated that the accused took it from a market area, took a vehicle, used a screwdriver, stole a motorcycle, made no attempt to avoid identification, came on a two-wheeler, struck during the day, were a group of four or more, broke the handle lock, appear to have had inside information and fled on a two-wheeler. The complainant does not suspect anyone. The complainant has submitted bills for some of the items."
KA-BEL-04/0001/2021,07-Jan-2021 1746 hrs,Belagavi,KA-BEL-04,Burglary - Commercial,02-Jan-2021,03-Jan-2021,None Observed,Door,,Office,,Two-Three,None,Pre-Surveyed,Gold Jewellery / Cash,Bike,Car/Jeep,,,,,,,,,,"Brief facts: the complainant states that on or between 02-Jan-2021 and 03-Jan-2021 a break-in at commercial premises was committed in Belagavi limits. It is stated that the accused fled in a four-wheeler, came on a two-wheeler, made no attempt to avoid identification, targeted an office, got in through the door, took gold ornaments, took cash, were two or three persons, left no sign of tools and appear to have watched the place beforehand. The beat constable had passed the area about an hour earlier. The complainant has submitted bills for some of the items."
KA-BEL-02/0002/2021,08-Jan-2021 0628 hrs,Belagavi,KA-BEL-02,Theft - Chain Snatching,06-Jan-2021 1034 hrs,06-Jan-2021 1041 hrs,None Observed,,,,,Two-Three,None,,Gold Jewellery,Bike,Bike,,,,Scooter,Walking On Road,Main Road,,,,"It is alleged that between 06-Jan-2021 1034 hrs and 06-Jan-2021 1041 hrs unknown accused committed chain snatching within Belagavi. It is stated that the accused made no attempt to avoid identification, escaped along the main road, fled on a two-wheeler, left no sign of tools, targeted a victim who was walking, struck during the day, were two or three persons, came on a two-wheeler, took gold ornaments and rode a scooter. Enquiries with nearby residents are in progress. The complainant has submitted bills for some of the items."
KA-MYS-02/0001/2021,08-Jan-2021 1236 hrs,Mysuru,KA-MYS-02,Theft - Vehicle,07-Jan-2021 1334 hrs,08-Jan-2021 0205 hrs,Cutting Plier / Screwdriver,,,,,Single,None,Pre-Surveyed,Vehicle,Bike,Bike,Motorcycle,Handle Lock Broken,Bus/Railway Station,,,,,,,"The complainant lodged a complaint at KA-MYS-02 regarding vehicle theft between 07-Jan-2021 1334 hrs and 08-Jan-2021 0205 hrs. It is stated that the accused stole a motorcycle, took a vehicle, acted alone, broke the handle lock, made no attempt to avoid identification, came on a two-wheeler, used a cutter, used a screwdriver, appear to have watched the place beforehand and took it from station parking. The beat constable had passed the area about an hour earlier. The complainant noticed the incident on returning and informed the police."
KA-DHA-06/0001/2021,08-Jan-2021 1514 hrs,Dharwad,KA-DHA-06,Burglary - Dwelling,07-Jan-2021 0933 hrs,08-Jan-2021 0459 hrs,,Door,Forced - lock,Independent House,Selective Search,Two-Three,None,Random,Cash,Bike,Walking,,,,,,,,,,"The complainant lodged a complaint at KA-DHA-06 regarding house burglary between 07-Jan-2021 0933 hrs and 08-Jan-2021 0459 hrs. It is stated that the accused used a cutter, took only selected valuables, got in through the door, came on a two-wheeler, broke the lock, targeted an independent house, appear to have picked the target by chance, took cash and fled on foot. A spot panchnama was drawn up in the presence of witnesses. The beat constable had passed the area about an hour earlier."
KA-MYS-03/0003/2021,08-Jan-2021 1632 hrs,Mysuru,KA-MYS-03,Theft - Vehicle,08-Jan-2021 0459 hrs,08-Jan-2021 1205 hrs,None Observed,,,,,,None,Random,Vehicle,Walking,Car/Jeep,Car,Handle Lock Broken,Residence Parking,,,,,,,"Brief facts: the complainant states that on or between 08-Jan-2021 0459 hrs and 08-Jan-2021 1205 hrs a vehicle theft was committed in Mysuru limits. It is stated that the accused struck during the day, stole a car, took a vehicle, left no sign of tools, fled in a four-wheeler, appear to have picked the target by chance and made no attempt to avoid identification. Neighbours stated they did not hear anything unusual. Street lights in the area were reported not working."
KA-KAL-07/0001/2021,08-Jan-2021 2152 hrs,Kalaburagi,KA-KAL-07,Theft - Vehicle,04-Jan-2021 0613 hrs,05-Jan-2021 1135 hrs,Screwdriver,,,,,Two-Three,None,Random,Vehicle,Walking,Bike,Scooter,Wire Bypass,Residence Parking,,,,,,,"Brief facts: the complainant states that on or between 04-Jan-2021 0613 hrs and 05-Jan-2021 1135 hrs a vehicle theft was committed in Kalaburagi limits. It is stated that the accused took it from residential parking, stole a scooter, fled on a two-wheeler, were two or three persons, appear to have picked the target by chance, used a screwdriver, took a vehicle and started it by joining the wires. The complainant noticed the incident on returning and informed the police. The complainant does not suspect anyone."
KA-DHA-07/0001/2021,08-Jan-2021 2302 hrs,Dharwad,KA-DHA-07,Theft - Chain Snatching,08-Jan-2021 1328 hrs,08-Jan-2021 1330 hrs,None Observed,,,,,Two-Three,CCTV Tampered,Pre-Surveyed,Gold Jewellery,Bike,Bike,,,,Scooter,Morning Walk,Main Road,,,,"It is alleged that between 08-Jan-2021 1328 hrs and 08-Jan-2021 1330 hrs unknown accused committed chain snatching within Dharwad. It is stated that the accused came on a two-wheeler, disabled the CCTV camera, targeted a victim on a morning walk, escaped along the main road, rode a scooter, took gold ornaments, left no sign of tools and were two or three persons. Fingerprint experts visited the scene. A relative of the complainant was the first to notice."
KA-BEN-05/0003/2021,09-Jan-2021 0547 hrs,Bengaluru Urban,KA-BEN-05,Theft - Vehicle,09-Jan-2021 0019 hrs,09-Jan-2021 0355 hrs,,,,,,,None,Pre-Surveyed,Vehicle,Walking,Bike,Motorcycle,Key Left In Vehicle,Residence Parking,,,,,,,"The complainant lodged a complaint at KA-BEN-05 regarding vehicle theft between 09-Jan-2021 0019 hrs and 09-Jan-2021 0355 hrs. It is stated that the accused struck at night, took a vehicle, fled on a two-wheeler, found the key left in the vehicle, stole a motorcycle, made no attempt to avoid identification, appear to have watched the place beforehand, came on foot and took it from residential parking. The beat constable had passed the area about an hour earlier. It had been raining heavily that evening."
KA-BEN-07/0001/2021,09-Jan-2021 1009 hrs,Bengaluru Urban,KA-BEN-07,Theft - Chain Snatching,09-Jan-2021 0231 hrs,09-Jan-2021 0238 hrs,None Observed,,,,,Single,Face Covered,Random,Gold Jewellery,Walking,Bike,,,,,Morning Walk,Main Road,,,,"Brief facts: the complainant states that on or between 09-Jan-2021 0231 hrs and 09-Jan-2021 0238 hrs a chain snatching was committed in Bengaluru Urban limits. It is stated that the accused acted alone, struck at night, escaped along the main road, had their faces covered, left no sign of tools, appear to have picked the target by chance, targeted a victim on a morning walk, came on foot and took gold ornaments. Street lights in the area were reported not working. The complainant noticed the incident on returning and informed the police."
KA-DHA-06/0002/2021,09-Jan-2021 1351 hrs,Dharwad,KA-DHA-06,Theft - Vehicle,09-Jan-2021 0247 hrs,09-Jan-2021 0741 hrs,None Observed,,,,,Single,,Pre-Surveyed,,Bike,,Scooter,Key Left In Vehicle,Road Side,,,,,,,"It is alleged that between 09-Jan-2021 0247 hrs and 09-Jan-2021 0741 hrs unknown accused committed vehicle theft within Dharwad. It is stated that the accused acted alone, took it from the roadside, made no attempt to avoid identification, appear to have watched the place beforehand, left no sign of tools, struck early in the morning, came on a two-wheeler and found the key left in the vehicle. The dog squad was summoned to the spot. Street lights in the area were reported not working."
KA-BEL-04/0002/2021,09-Jan-2021 1628 hrs,Belagavi,KA-BEL-04,Burglary - Dwelling,08-Jan-2021 2308 hrs,09-Jan-2021 0110 hrs,Gas Welding Set,Door,Forced - lock,Mixed Use,Ransacked,Gang (4+),None,,Nothing Lost,Walking,Walking,,,,,,,,,,"The complainant lodged a complaint at KA-BEL-04 regarding house burglary between 08-Jan-2021 2308 hrs and 09-Jan-2021 0110 hrs. It is stated that the accused struck at night, came on foot, broke the lock, got in through the door, targeted a shop-cum-residence, were a group of four or more, took nothing and fled on foot. A spot panchnama was drawn up in the presence of witnesses. Street lights in the area were reported not working."
KA-BEN-03/0002/2021,09-Jan-2021 2052 hrs,Bengaluru Urban,KA-BEN-03,Burglary - Dwelling,08-Jan-2021 1159 hrs,08-Jan-2021 1400 hrs,,Door,Forced - lock,Independent House,Selective Search,Single,None,Random,Gold Jewellery / Cash,,Bike,,,,,,,,,,"It is alleged that between 08-Jan-2021 1159 hrs and 08-Jan-2021 1400 hrs unknown accused committed house burglary within Bengaluru Urban. It is stated that the accused took gold ornaments, took cash, acted alone, appear to have picked the target by chance, targeted an independent house, fled on a two-wheeler, struck during the day, struck while the occupants were out, got in through the door, took only selected valuables, made no attempt to avoid identification and broke the lock. The dog squad was summoned to the spot. Street lights in the area were reported not working."
KA-MYS-01/0004/2021,10-Jan-2021 0058 hrs,Mysuru,KA-MYS-01,Theft - Chain Snatching,08-Jan-2021 1954 hrs,08-Jan-2021 2000 hrs,None Observed,,,,,Two-Three,None,,Gold Jewellery,Bike,Bike,,,,Motorcycle,Waiting For Bus,,,,,"The complainant lodged a complaint at KA-MYS-01 regarding chain snatching between 08-Jan-2021 1954 hrs and 08-Jan-2021 2000 hrs. It is stated that the accused targeted a victim waiting for transport, took gold ornaments, came on a two-wheeler, fled on a two-wheeler, left no sign of tools, escaped along the main road and made no attempt to avoid identification. Nearby shops were closed at the time. It had been raining heavily that evening."
KA-KAL-01/0002/2021,10-Jan-2021 0122 hrs,Kalaburagi,KA-KAL-01,Theft - Chain Snatching,09-Jan-2021 0551 hrs,09-Jan-2021 0557 hrs,,,,,,Two-Three,None,Random,Gold Jewellery / Cash / Electronics,Bike,,,,,Scooter,Walking On Road,Cross Roads,,,,"The complainant lodged a complaint at KA-KAL-01 regarding chain snatching between 09-Jan-2021 0551 hrs and 09-Jan-2021 0557 hrs. It is stated that the accused were two or three persons, made no attempt to avoid identification, took gold ornaments, took cash, took electronic items, appear to have picked the target by chance, came on a two-wheeler, struck early in the morning, fled on a two-wheeler and escaped through the lanes. A relative of the complainant was the first to notice. The total value of the stolen property is estimated at Rs. 43,204."
