THANA,ZILA,APRADH_KRAMANK,DARJ_DINANK,APRADH_SHIRSH,GHATNA_DINANK_SE,GHATNA_DINANK_TAK,GHATNA_VIVARAN,PRAVESH_STHAN,PRAVESH_VIDHI,PARISAR,MAKAN_STHITI,TALASHI_PRAKAR,AAROPI_SANKHYA,UPKARAN,PEHCHAN_CHHIPANA,LAKSHYA_CHAYAN,CHORI_SAMPATTI,AAGAMAN_SADHAN,PALAYAN_SADHAN,VAHAN_SHRENI,VAHAN_CHALU_VIDHI,VAHAN_STHAN,AAROPI_VAHAN,PEEDIT_GATIVIDHI,PALAYAN_DISHA,ATM_STHAN,ATM_CHHEDCHHAD,ALARM_STHITI
MP-IND-06,Indore,MP-IND-06/0002/2021,04-01-2021 01:17 AM,VAHAN_CHORI,03-01-2021 06:07 AM,03-01-2021 11:32 AM,"Report received at MP-IND-06, Indore: vehicle theft between 03-01-2021 06:07 AM and 03-01-2021 11:32 AM. It is stated that the accused took it from residential parking, came on foot, stole a scooter and struck during the day. The total value of the stolen property is estimated at Rs. 174,922. Neighbours stated they did not hear anything unusual.",,,,,,DO_TEEN,KOI_NAHI,KOI_NAHI,,VAHAN,PAIDAL,,SCOOTY,,GHAR_KE_BAHAR,,,,,,
MP-IND-04,Indore,MP-IND-04/0001/2021,04-01-2021 07:53 AM,GRIH_BHEDAN,02-01-2021 01:30 AM,02-01-2021 11:33 PM,"The informant reported a house burglary in the jurisdiction of MP-IND-04 between 02-01-2021 01:30 AM and 02-01-2021 11:33 PM. It is stated that the accused took gold ornaments, took cash, took electronic items, struck while the occupants were out, were a group of four or more, made no attempt to avoid identification and ransacked the place. Enquiries with nearby residents are in progress. Neighbours stated they did not hear anything unusual.",DARWAZA,TALA_TODA,FLAT,THODI_DER_BAHAR,SAB_BIKHRA,CHAAR_SE_ADHIK,,KOI_NAHI,,SONE_KE_GAHNE|NAKAD|ELECTRONIC_SAMAN,DO_PAHIYA,,,,,,,,,,
MP-UJJ-01,Ujjain,MP-UJJ-01/0001/2021,04-01-2021 02:57 PM,CHAIN_JHAPATNA,04-01-2021 12:16 AM,04-01-2021 12:24 AM,"Complainant appeared at MP-UJJ-01 and stated that a chain snatching happened between 04-01-2021 12:16 AM and 04-01-2021 12:24 AM in Ujjain. It is stated that the accused rode a motorcycle, escaped along the main road, had their faces covered, fled on a two-wheeler, acted alone, took nothing, left no sign of tools, targeted a victim who was walking, appear to have picked the target by chance and struck at night. The complainant does not suspect anyone. The beat constable had passed the area about an hour earlier.",,,,,,EK,KOI_NAHI,MUNH_DHAKA,AKASMIK,KUCHH_NAHI,DO_PAHIYA,DO_PAHIYA,,,,MOTORCYCLE,PAIDAL_JA_RAHI,MUKHYA_MARG,,,
MP-BHO-02,Bhopal,MP-BHO-02/0001/2021,04-01-2021 04:31 PM,VAHAN_CHORI,03-01-2021 06:34 AM,03-01-2021 08:56 AM,"Complainant appeared at MP-BHO-02 and stated that a vehicle theft happened between 03-01-2021 06:34 AM and 03-01-2021 08:56 AM in Bhopal. It is stated that the accused struck during the day, took it from the roadside, stole a goods vehicle, fled in a four-wheeler, used a crowbar, took a vehicle and acted alone. A spot panchnama was drawn up in the presence of witnesses. Street lights in the area were reported not working.",,,,,,EK,SABBAL,KOI_NAHI,,VAHAN,DO_PAHIYA,CHAR_PAHIYA,MAAL_VAHAN,HANDLE_LOCK_TODA,SADAK_KINARE,,,,,,
MP-BHO-04,Bhopal,MP-BHO-04/0001/2021,05-01-2021 12:09 AM,VAHAN_CHORI,04-01-2021 10:52 AM,04-01-2021 02:58 PM,"Report received at MP-BHO-04, Bhopal: vehicle theft between 04-01-2021 10:52 AM and 04-01-2021 02:58 PM. It is stated that the accused had their faces covered, fled on a two-wheeler, took it from residential parking, struck during the day and used a screwdriver. Enquiries with nearby residents are in progress. It had been raining heavily that evening.",,,,,,,PECHKAS,MUNH_DHAKA,,,PAIDAL,DO_PAHIYA,MOTORCYCLE,TAAR_JODKAR,GHAR_KE_BAHAR,,,,,,
MP-JAB-01,Jabalpur,MP-JAB-01/0001/2021,05-01-2021 01:28 AM,VAHAN_CHORI,03-01-2021 07:19 AM,04-01-2021 03:22 PM,"Complainant appeared at MP-JAB-01 and stated that a vehicle theft happened between 03-01-2021 07:19 AM and 04-01-2021 03:22 PM in Jabalpur. It is stated that the accused stole a motorcycle, took it from station parking, took a vehicle, came on foot, left no sign of tools and appear to have watched the place beforehand. It had been raining heavily that evening. A spot panchnama was drawn up in the presence of witnesses.",,,,,,,KOI_NAHI,KOI_NAHI,REKI_KI,VAHAN,PAIDAL,,MOTORCYCLE,,STATION_PARISAR,,,,,,
MP-UJJ-06,Ujjain,MP-UJJ-06/0001/2021,05-01-2021 04:57 AM,ATM_CHHEDCHHAD,03-01-2021 09:06 PM,04-01-2021 03:02 PM,"Report received at MP-UJJ-06, Ujjain: ATM tampering between 03-01-2021 09:06 PM and 04-01-2021 03:02 PM. It is stated that the accused targeted an offsite ATM kiosk, fled on foot, took cash, cut the machine open with gas, disabled the CCTV camera and left the alarm untouched. The complainant has submitted bills for some of the items. Neighbours stated they did not hear anything unusual.",,,,,,,,CCTV_TODA,BHEDI_SOOCHNA,NAKAD,PAIDAL,PAIDAL,,,,,,,BAHARI_ATM,GAS_SE_KATA,ALARM_CHALU
MP-JAB-01,Jabalpur,MP-JAB-01/0002/2021,06-01-2021 02:02 AM,CHAIN_JHAPATNA,05-01-2021 05:17 PM,05-01-2021 05:22 PM,"Report received at MP-JAB-01, Jabalpur: chain snatching between 05-01-2021 05:17 PM and 05-01-2021 05:22 PM. It is stated that the accused targeted a victim riding pillion, struck during the day, acted alone, left no sign of tools, used no vehicle and escaped through the lanes. The dog squad was summoned to the spot. Neighbours stated they did not hear anything unusual.",,,,,,EK,KOI_NAHI,KOI_NAHI,,,PAIDAL,PAIDAL,,,,KOI_NAHI,PICHHE_BAITHI,GALIYON_SE,,,
MP-BHO-06,Bhopal,MP-BHO-06/0002/2021,06-01-2021 09:11 AM,DUKAN_BHEDAN,04-01-2021,05-01-2021,"Report received at MP-BHO-06, Bhopal: break-in at commercial premises between 04-01-2021 and 05-01-2021. It is stated that the accused targeted a godown, took nothing, struck at night, used a crowbar, ransacked the place and appear to have picked the target by chance. The complainant does not suspect anyone. It had been raining heavily that evening.",SHUTTER,TALA_TODA,GODAM,RAAT_ME_BAND,SAB_BIKHRA,,SABBAL,,,KUCHH_NAHI,,,,,,,,,,,
MP-UJJ-03,Ujjain,MP-UJJ-03/0001/2021,06-01-2021 03:12 PM,GRIH_BHEDAN,01-01-2021 05:02 PM,03-01-2021 04:03 AM,"Complainant appeared at MP-UJJ-03 and stated that a house burglary happened between 01-01-2021 05:02 PM and 03-01-2021 04:03 AM in Ujjain. It is stated that the accused targeted a shop-cum-residence, forced the door open, were two or three persons, took only selected valuables, used a crowbar, climbed in via the balcony, took cash and took electronic items. The total value of the stolen property is estimated at Rs. 36,374. Fingerprint experts visited the scene.",BALCONY,DHAKKA_DEKAR_KHOLA,DUKAN_SAH_AAWAS,BAHARGAON_GAYE,CHUNINDA_SAMAN,DO_TEEN,SABBAL,KOI_NAHI,,NAKAD|ELECTRONIC_SAMAN,PAIDAL,PAIDAL,,,,,,,,,
MP-IND-01,Indore,MP-IND-01/0001/2021,06-01-2021 07:49 PM,CHAIN_JHAPATNA,05-01-2021 12:15 PM,05-01-2021 12:27 PM,"The informant reported a chain snatching in the jurisdiction of MP-IND-01 between 05-01-2021 12:15 PM and 05-01-2021 12:27 PM. It is stated that the accused left no sign of tools, took gold ornaments, appear to have picked the target by chance, struck during the day, fled on a two-wheeler, rode a motorcycle and were two or three persons. Nearby shops were closed at the time. A spot panchnama was drawn up in the presence of witnesses.",,,,,,DO_TEEN,KOI_NAHI,KOI_NAHI,AKASMIK,SONE_KE_GAHNE,,DO_PAHIYA,,,,MOTORCYCLE,PAIDAL_JA_RAHI,GALIYON_SE,,,
MP-BHO-03,Bhopal,MP-BHO-03/0001/2021,07-01-2021 03:37 AM,CHAIN_JHAPATNA,05-01-2021 07:54 AM,05-01-2021 08:04 AM,"Complainant appeared at MP-BHO-03 and stated that a chain snatching happened between 05-01-2021 07:54 AM and 05-01-2021 08:04 AM in Bhopal. It is stated that the accused left no sign of tools, took gold ornaments, struck during the day and had their faces covered. Fingerprint experts visited the scene. A spot panchnama was drawn up in the presence of witnesses.",,,,,,DO_TEEN,KOI_NAHI,MUNH_DHAKA,,SONE_KE_GAHNE,DO_PAHIYA,,,,,MOTORCYCLE,SUBAH_TEHALNA,MUKHYA_MARG,,,
MP-GWA-01,Gwalior,MP-GWA-01/0001/2021,07-01-2021 08:00 AM,CHAIN_JHAPATNA,06-01-2021 12:09 PM,06-01-2021 12:16 PM,"The informant reported a chain snatching in the jurisdiction of MP-GWA-01 between 06-01-2021 12:09 PM and 06-01-2021 12:16 PM. It is stated that the accused struck during the day, were two or three persons, appear to have watched the place beforehand, targeted a victim who was walking, rode a motorcycle, escaped along the main road and fled on a two-wheeler. Street lights in the area were reported not working. The total value of the stolen property is estimated at Rs. 234,797.",,,,,,,,,REKI_KI,SONE_KE_GAHNE,DO_PAHIYA,,,,,MOTORCYCLE,PAIDAL_JA_RAHI,MUKHYA_MARG,,,
MP-JAB-01,Jabalpur,MP-JAB-01/0003/2021,07-01-2021 09:01 PM,VAHAN_CHORI,07-01-2021 11:54 AM,07-01-2021 03:31 PM,"Complainant appeared at MP-JAB-01 and stated that a vehicle theft happened between 07-01-2021 11:54 AM and 07-01-2021 03:31 PM in Jabalpur. It is stated that the accused stole a motorcycle, took it from the roadside, took a vehicle, fled on a two-wheeler, struck during the day, came on foot and started it by joining the wires. Fingerprint experts visited the scene. The complainant has submitted bills for some of the items.",,,,,,DO_TEEN,,,REKI_KI,VAHAN,PAIDAL,DO_PAHIYA,MOTORCYCLE,TAAR_JODKAR,SADAK_KINARE,,,,,,
MP-UJJ-06,Ujjain,MP-UJJ-06/0002/2021,08-01-2021 05:09 PM,GRIH_BHEDAN,07-01-2021 08:17 AM,07-01-2021 11:06 AM,"Complainant appeared at MP-UJJ-06 and stated that a house burglary happened between 07-01-2021 08:17 AM and 07-01-2021 11:06 AM in Ujjain. It is stated that the accused targeted an independent house, made no attempt to avoid identification, came on a two-wheeler, took gold ornaments, took electronic items, took only selected valuables and left no sign of tools. Street lights in the area were reported not working. It had been raining heavily that evening.",KHIDKI,,SWATANTRA_MAKAN,,CHUNINDA_SAMAN,EK,KOI_NAHI,KOI_NAHI,AKASMIK,SONE_KE_GAHNE|ELECTRONIC_SAMAN,DO_PAHIYA,DO_PAHIYA,,,,,,,,,
MP-BHO-01,Bhopal,MP-BHO-01/0001/2021,08-01-2021 05:34 PM,VAHAN_CHORI,05-01-2021 03:38 AM,05-01-2021 07:17 AM,"The informant reported a vehicle theft in the jurisdiction of MP-BHO-01 between 05-01-2021 03:38 AM and 05-01-2021 07:17 AM. It is stated that the accused made no attempt to avoid identification, left no sign of tools, were two or three persons, lifted or towed it away and took it from residential parking. Nearby shops were closed at the time. A relative of the complainant was the first to notice.",,,,,,DO_TEEN,KOI_NAHI,KOI_NAHI,AKASMIK,VAHAN,,DO_PAHIYA,MOTORCYCLE,UTHA_LE_GAYE,GHAR_KE_BAHAR,,,,,,
MP-BHO-02,Bhopal,MP-BHO-02/0002/2021,08-01-2021 07:30 PM,GRIH_BHEDAN,07-01-2021 05:58 PM,08-01-2021 12:42 PM,"Complainant appeared at MP-BHO-02 and stated that a house burglary happened between 07-01-2021 05:58 PM and 08-01-2021 12:42 PM in Bhopal. It is stated that the accused made no attempt to avoid identification, took gold ornaments, took cash, targeted a shop, took only selected valuables and got in through the door. It had been raining heavily that evening. A relative of the complainant was the first to notice.",DARWAZA,,DUKAN,,CHUNINDA_SAMAN,DO_TEEN,KATAR,KOI_NAHI,,SONE_KE_GAHNE|NAKAD,DO_PAHIYA,DO_PAHIYA,,,,,,,,,
MP-IND-02,Indore,MP-IND-02/0001/2021,09-01-2021 04:20 AM,VAHAN_CHORI,02-01-2021 04:32 PM,07-01-2021 07:46 AM,"Complainant appeared at MP-IND-02 and stated that a vehicle theft happened between 02-01-2021 04:32 PM and 07-01-2021 07:46 AM in Indore. It is stated that the accused came on foot, made no attempt to avoid identification, left no sign of tools, took it from the roadside and appear to have picked the target by chance. The complainant does not suspect anyone. Enquiries with nearby residents are in progress.",,,,,,DO_TEEN,KOI_NAHI,KOI_NAHI,AKASMIK,VAHAN,PAIDAL,DO_PAHIYA,,,SADAK_KINARE,,,,,,
MP-BHO-04,Bhopal,MP-BHO-04/0002/2021,09-01-2021 05:47 AM,ATM_CHHEDCHHAD,08-01-2021 03:30 AM,09-01-2021 12:07 AM,"The informant reported a ATM tampering in the jurisdiction of MP-BHO-04 between 08-01-2021 03:30 AM and 09-01-2021 12:07 AM. It is stated that the accused fitted a skimming device, left the alarm untouched, used a screwdriver, took cash, had their faces covered and fled on a two-wheeler. Enquiries with nearby residents are in progress. A relative of the complainant was the first to notice.",,,,,,,PECHKAS,MUNH_DHAKA,,NAKAD,,DO_PAHIYA,,,,,,,WHITE_LABEL_ATM,SKIMMER_LAGAYA,ALARM_CHALU
MP-IND-03,Indore,MP-IND-03/0001/2021,09-01-2021 09:35 AM,VAHAN_CHORI,07-01-2021 11:12 PM,08-01-2021 04:14 AM,"The informant reported a vehicle theft in the jurisdiction of MP-IND-03 between 07-01-2021 11:12 PM and 08-01-2021 04:14 AM. It is stated that the accused broke the handle lock, stole a motorcycle, appear to have picked the target by chance, left no sign of tools, acted alone, struck at night, took it from residential parking, took documents and took a vehicle. The beat constable had passed the area about an hour earlier. The complainant noticed the incident on returning and informed the police.",,,,,,EK,KOI_NAHI,KOI_NAHI,AKASMIK,DASTAVEZ|VAHAN,,,MOTORCYCLE,HANDLE_LOCK_TODA,GHAR_KE_BAHAR,,,,,,
MP-UJJ-02,Ujjain,MP-UJJ-02/0001/2021,09-01-2021 09:37 AM,VAHAN_CHORI,08-01-2021 03:18 PM,09-01-2021 02:40 AM,"The informant reported a vehicle theft in the jurisdiction of MP-UJJ-02 between 08-01-2021 03:18 PM and 09-01-2021 02:40 AM. It is stated that the accused fled on a two-wheeler, made no attempt to avoid identification, took it from residential parking, broke the handle lock, appear to have picked the target by chance, came on foot, took a vehicle and struck during the day. Enquiries with nearby residents are in progress. It had been raining heavily that evening.",,,,,,EK,PECHKAS,KOI_NAHI,AKASMIK,VAHAN,PAIDAL,DO_PAHIYA,,HANDLE_LOCK_TODA,GHAR_KE_BAHAR,,,,,,
MP-UJJ-04,Ujjain,MP-UJJ-04/0001/2021,09-01-2021 06:26 PM,ATM_CHHEDCHHAD,06-01-2021 06:04 PM,08-01-2021 12:28 AM,"Report received at MP-UJJ-04, Ujjain: ATM tampering between 06-01-2021 06:04 PM and 08-01-2021 12:28 AM. It is stated that the accused came on foot, used a crowbar, used a screwdriver, used a gas cutter, had their faces covered, fled on a two-wheeler, cut the machine open with gas, targeted an ATM at a bank branch, took cash, left the alarm untouched and appear to have picked the target by chance. The complainant does not suspect anyone. A spot panchnama was drawn up in the presence of witnesses.",,,,,,,SABBAL|PECHKAS|GAS_KATAR,MUNH_DHAKA,AKASMIK,NAKAD,PAIDAL,DO_PAHIYA,,,,,,,SHAKHA_ATM,GAS_SE_KATA,ALARM_CHALU
MP-BHO-02,Bhopal,MP-BHO-02/0003/2021,10-01-2021 02:59 PM,GRIH_BHEDAN,04-01-2021 03:19 PM,10-01-2021 12:07 AM,"The informant reported a house burglary in the jurisdiction of MP-BHO-02 between 04-01-2021 03:19 PM and 10-01-2021 12:07 AM. It is stated that the accused ransacked the place, struck while the house was locked for days, left no sign of tools, wore gloves, took gold ornaments, took cash, took electronic items, came in a four-wheeler and got in through the door. Street lights in the area were reported not working.",DARWAZA,TALA_TODA,,BAHARGAON_GAYE,SAB_BIKHRA,EK,KOI_NAHI,DASTANE,,SONE_KE_GAHNE|NAKAD|ELECTRONIC_SAMAN,CHAR_PAHIYA,,,,,,,,,,
MP-BHO-02,Bhopal,MP-BHO-02/0004/2021,10-01-2021 06:51 PM,CHAIN_JHAPATNA,10-01-2021,10-01-2021,"The informant reported a chain snatching in the jurisdiction of MP-BHO-02 between 10-01-2021 and 10-01-2021. It is stated that the accused left no sign of tools, made no attempt to avoid identification and came on foot. The complainant has submitted bills for some of the items. The complainant does not suspect anyone.",,,,,,,KOI_NAHI,KOI_NAHI,,SONE_KE_GAHNE,PAIDAL,,,,,,PAIDAL_JA_RAHI,MUKHYA_MARG,,,
MP-BHO-04,Bhopal,MP-BHO-04/0003/2021,11-01-2021 05:44 AM,VAHAN_CHORI,10-01-2021 10:15 AM,10-01-2021 03:37 PM,"Report received at MP-BHO-04, Bhopal: vehicle theft between 10-01-2021 10:15 AM and 10-01-2021 03:37 PM. It is stated that the accused made no attempt to avoid identification, used a gas cutter, fled on a two-wheeler, started it by joining the wires, struck during the day and acted alone. Neighbours stated they did not hear anything unusual. The dog squad was summoned to the spot.",,,,,,EK,GAS_KATAR,KOI_NAHI,,VAHAN,DO_PAHIYA,DO_PAHIYA,MOTORCYCLE,TAAR_JODKAR,,,,,,,
MP-UJJ-01,Ujjain,MP-UJJ-01/0002/2021,11-01-2021 06:20 PM,GRIH_BHEDAN,10-01-2021 11:09 PM,11-01-2021 01:10 AM,"Report received at MP-UJJ-01, Ujjain: house burglary between 10-01-2021 11:09 PM and 11-01-2021 01:10 AM. It is stated that the accused were two or three persons, disabled the CCTV camera, appear to have watched the place beforehand, struck while the occupants were out, struck at night, ransacked the place, fled on foot, targeted a row house, came on foot and broke the lock. Neighbours stated they did not hear anything unusual. The dog squad was summoned to the spot.",,TALA_TODA,KATAR_MAKAN,THODI_DER_BAHAR,SAB_BIKHRA,DO_TEEN,SABBAL|GAS_KATAR,CCTV_TODA,REKI_KI,,PAIDAL,PAIDAL,,,,,,,,,
MP-IND-03,Indore,MP-IND-03/0002/2021,12-01-2021 12:40 AM,ATM_CHHEDCHHAD,06-01-2021 10:36 PM,11-01-2021 03:15 PM,"Complainant appeared at MP-IND-03 and stated that a ATM tampering happened between 06-01-2021 10:36 PM and 11-01-2021 03:15 PM in Indore. It is stated that the accused fled in a four-wheeler, took cash, appear to have picked the target by chance, used a crowbar, acted alone and had their faces covered. It had been raining heavily that evening. A relative of the complainant was the first to notice.",,,,,,EK,SABBAL,MUNH_DHAKA,AKASMIK,NAKAD,CHAR_PAHIYA,CHAR_PAHIYA,,,,,,,,,ALARM_CHALU
MP-BHO-05,Bhopal,MP-BHO-05/0001/2021,12-01-2021 01:30 AM,VAHAN_CHORI,10-01-2021 09:05 AM,11-01-2021 06:31 AM,"Complainant appeared at MP-BHO-05 and stated that a vehicle theft happened between 10-01-2021 09:05 AM and 11-01-2021 06:31 AM in Bhopal. It is stated that the accused took cash, took a vehicle, came on foot, stole a car, fled in a four-wheeler, appear to have watched the place beforehand and took it from a public parking lot. It had been raining heavily that evening. Nearby shops were closed at the time.",,,,,,EK,KOI_NAHI,,REKI_KI,NAKAD|VAHAN,PAIDAL,CHAR_PAHIYA,CAR,HANDLE_LOCK_TODA,SARVAJANIK_PARKING,,,,,,
MP-JAB-06,Jabalpur,MP-JAB-06/0001/2021,12-01-2021 08:13 AM,ATM_CHHEDCHHAD,10-01-2021 07:24 PM,11-01-2021 12:19 AM,"The informant reported a ATM tampering in the jurisdiction of MP-JAB-06 between 10-01-2021 07:24 PM and 11-01-2021 12:19 AM. It is stated that the accused appear to have watched the place beforehand, took cash, used a cutter, used a screwdriver, used a gas cutter, forced the machine open, fled in a four-wheeler, came in a four-wheeler and made no attempt to avoid identification. Neighbours stated they did not hear anything unusual. Fingerprint experts visited the scene.",,,,,,,KATAR|PECHKAS|GAS_KATAR,KOI_NAHI,REKI_KI,NAKAD,CHAR_PAHIYA,CHAR_PAHIYA,,,,,,,,TODKAR_KHOLA,ALARM_CHALU
