fir_number,district_name,ps_name,crime_category,offence_from_dt,offence_to_dt,fir_reg_dt,mo_description,brief_facts
TG-RAN-04/0001/2021,Rangareddy,TG-RAN-04,HB - Residential,2021-01-04T09:12:00,2021-01-04T09:49:00,2021-01-04T14:47:00,Accused targeted an independent house; were a group of four or more; fled on foot; struck during the day; made no attempt to avoid identification; came on a two-wheeler; used a cutter; used a screwdriver; broke the lock; got in through the door; appear to have watched the place beforehand; struck while the occupants were inside.,"Case registered at TG-RAN-04 on a complaint of house burglary committed between 2021-01-04T09:12:00 and 2021-01-04T09:49:00. It is stated that the accused targeted an independent house, were a group of four or more, fled on foot, took nothing, made no attempt to avoid identification, came on a two-wheeler, used a cutter, used a screwdriver, got in through the door, appear to have watched the place beforehand and struck while the occupants were inside. Nearby shops were closed at the time. The beat constable had passed the area about an hour earlier."
TG-NIZ-01/0001/2021,Nizamabad,TG-NIZ-01,MV Theft,2021-01-04T22:00:00,2021-01-05T01:36:00,2021-01-05T07:04:00,Accused stole a motorcycle; made no attempt to avoid identification; broke the handle lock; used a screwdriver; fled on a two-wheeler; struck at night; acted alone; came on foot.,"Case registered at TG-NIZ-01 on a complaint of vehicle theft committed between 2021-01-04T22:00:00 and 2021-01-05T01:36:00. It is stated that the accused stole a motorcycle, made no attempt to avoid identification, broke the handle lock, used a screwdriver, took documents, took a vehicle, fled on a two-wheeler and acted alone. A relative of the complainant was the first to notice. Neighbours stated they did not hear anything unusual."
TG-RAN-06/0002/2021,Rangareddy,TG-RAN-06,MV Theft,2021-01-04T21:32:00,2021-01-05T06:12:00,2021-01-05T09:47:00,Accused struck at night; left no sign of tools; stole a scooter; started it by joining the wires; took it from a market area; fled on a two-wheeler.,"Case registered at TG-RAN-06 on a complaint of vehicle theft committed between 2021-01-04T21:32:00 and 2021-01-05T06:12:00. It is stated that the accused struck at night, appear to have picked the target by chance, left no sign of tools, stole a scooter, were two or three persons, started it by joining the wires and took it from a market area. The complainant noticed the incident on returning and informed the police."
TG-HAN-06/0001/2021,Hanumakonda,TG-HAN-06,HB - Residential,2021-01-05,2021-01-05,2021-01-05T10:34:00,Accused forced the door open; got in through the door; were a group of four or more; came in a four-wheeler; struck while the occupants were out; used a crowbar; used a cutter; used a screwdriver; had their faces covered; took gold ornaments; took cash.,"Complaint received at TG-HAN-06 (Hanumakonda) regarding house burglary between 2021-01-05 and 2021-01-05. It is stated that the accused forced the door open, got in through the door, were a group of four or more, came in a four-wheeler, struck while the occupants were out, used a crowbar, used a cutter, used a screwdriver, had their faces covered, took gold ornaments and took cash. A relative of the complainant was the first to notice. It had been raining heavily that evening."
TG-HYD-05/0001/2021,Hyderabad,TG-HYD-05,HB - Residential,2021-01-03T14:29:00,2021-01-03T23:05:00,2021-01-05T11:12:00,Accused targeted a shop-cum-residence; came on foot; took documents; struck during the day; appear to have had inside information; fled on a two-wheeler; were two or three persons; left no sign of tools; made no attempt to avoid identification; struck while the occupants were out; got in through the door.,"The complainant reported house burglary that occurred between 2021-01-03T14:29:00 and 2021-01-03T23:05:00 in Hyderabad. It is stated that the accused targeted a shop-cum-residence, came on foot, took documents, struck during the day, appear to have had inside information, fled on a two-wheeler, were two or three persons, left no sign of tools, made no attempt to avoid identification, struck while the occupants were out, got in through the door and went straight to where the valuables were kept. Fingerprint experts visited the scene. The dog squad was summoned to the spot."
TG-KAR-02/0001/2021,Karimnagar,TG-KAR-02,ATM Offence,2021-01-04T09:44:00,2021-01-05T07:18:00,2021-01-05T13:05:00,Accused left the alarm untouched; targeted a white-label ATM; fled on a two-wheeler; took cash; acted alone; came on a two-wheeler; used a gas cutter.,"The complainant reported ATM tampering that occurred between 2021-01-04T09:44:00 and 2021-01-05T07:18:00 in Karimnagar. It is stated that the accused left the alarm untouched, fled on a two-wheeler, took cash, acted alone, came on a two-wheeler and used a gas cutter. A relative of the complainant was the first to notice. The total value of the stolen property is estimated at Rs. 104,739."
TG-HAN-04/0001/2021,Hanumakonda,TG-HAN-04,HB - Commercial,2021-01-04T11:04:00,2021-01-04T20:16:00,2021-01-06T00:59:00,Accused got in through the door; fled on foot; took nothing; targeted a shop; had their faces covered; struck during the day; acted alone; struck while the premises were closed for the night; ransacked the place.,"Case registered at TG-HAN-04 on a complaint of break-in at commercial premises committed between 2021-01-04T11:04:00 and 2021-01-04T20:16:00. It is stated that the accused got in through the door, fled on foot, took nothing, had their faces covered, struck during the day, acted alone, struck while the premises were closed for the night and ransacked the place. The beat constable had passed the area about an hour earlier. A spot panchnama was drawn up in the presence of witnesses."
TG-HAN-02/0001/2021,Hanumakonda,TG-HAN-02,Chain Snatching,2021-01-04T06:23:00,2021-01-04T06:41:00,2021-01-06T06:34:00,Accused were two or three persons; took nothing; had their faces covered; targeted a victim who was shopping; rode a motorcycle; struck early in the morning; fled on a two-wheeler; came on a two-wheeler; left no sign of tools.,"Case registered at TG-HAN-02 on a complaint of chain snatching committed between 2021-01-04T06:23:00 and 2021-01-04T06:41:00. It is stated that the accused were two or three persons, escaped towards the highway, took nothing, had their faces covered, targeted a victim who was shopping, rode a motorcycle, struck early in the morning, fled on a two-wheeler and came on a two-wheeler. Street lights in the area were reported not working. The total value of the stolen property is estimated at Rs. 395,692."
TG-NIZ-04/0003/2021,Nizamabad,TG-NIZ-04,MV Theft,2021-01-06T03:00:00,2021-01-06T07:58:00,2021-01-06T08:58:00,Accused broke the handle lock; took it from residential parking; fled on a two-wheeler; left no sign of tools; struck early in the morning; were two or three persons; wore gloves; stole a motorcycle.,"Case registered at TG-NIZ-04 on a complaint of vehicle theft committed between 2021-01-06T03:00:00 and 2021-01-06T07:58:00. It is stated that the accused took a vehicle, broke the handle lock, took it from residential parking, fled on a two-wheeler, left no sign of tools, struck early in the morning, were two or three persons, wore gloves, stole a motorcycle and appear to have watched the place beforehand. Enquiries with nearby residents are in progress. Neighbours stated they did not hear anything unusual."
TG-RAN-04/0002/2021,Rangareddy,TG-RAN-04,HB - Residential,2021-01-05T17:11:00,2021-01-05T23:07:00,2021-01-06T15:46:00,Accused fled on a two-wheeler; appear to have picked the target by chance; struck while the occupants were out; made no attempt to avoid identification; took gold ornaments; took cash; took electronic items; came on a two-wheeler; acted alone; ransacked the place; targeted an apartment; left no sign of tools; got in through the door; struck during the day.,"Case registered at TG-RAN-04 on a complaint of house burglary committed between 2021-01-05T17:11:00 and 2021-01-05T23:07:00. It is stated that the accused fled on a two-wheeler, appear to have picked the target by chance, struck while the occupants were out, made no attempt to avoid identification, took gold ornaments, took cash, took electronic items, came on a two-wheeler, acted alone, ransacked the place, targeted an apartment, left no sign of tools and got in through the door. Neighbours stated they did not hear anything unusual."
TG-HYD-06/0001/2021,Hyderabad,TG-HYD-06,HB - Commercial,2021-01-06T01:31:00,2021-01-06T12:11:00,2021-01-06T21:41:00,Accused came in a four-wheeler; took cash; took documents; entered without force; struck while the premises were closed for a holiday; made no attempt to avoid identification; left no sign of tools; fled in a four-wheeler; were two or three persons; struck early in the morning; got in through the door.,"The complainant reported break-in at commercial premises that occurred between 2021-01-06T01:31:00 and 2021-01-06T12:11:00 in Hyderabad. It is stated that the accused came in a four-wheeler, took cash, took documents, entered without force, struck while the premises were closed for a holiday, made no attempt to avoid identification, left no sign of tools, fled in a four-wheeler, were two or three persons, struck early in the morning, targeted a godown and got in through the door. Neighbours stated they did not hear anything unusual. The complainant noticed the incident on returning and informed the police."
TG-HYD-04/0001/2021,Hyderabad,TG-HYD-04,ATM Offence,2021-01-03T19:36:00,2021-01-05T15:48:00,2021-01-06T23:37:00,Accused came on a two-wheeler; fitted a skimming device; fled on a two-wheeler; acted alone; left the alarm untouched; appear to have watched the place beforehand; used a screwdriver; made no attempt to avoid identification; took cash.,"Case registered at TG-HYD-04 on a complaint of ATM tampering committed between 2021-01-03T19:36:00 and 2021-01-05T15:48:00. It is stated that the accused came on a two-wheeler, fitted a skimming device, acted alone, left the alarm untouched, appear to have watched the place beforehand, used a screwdriver, made no attempt to avoid identification and took cash. Nearby shops were closed at the time. A relative of the complainant was the first to notice."
TG-NIZ-01/0002/2021,Nizamabad,TG-NIZ-01,HB - Residential,2021-01-06T02:44:00,2021-01-06T05:29:00,2021-01-07T06:43:00,Accused targeted a row house; fled on a two-wheeler; got in through the door; struck early in the morning; came on a two-wheeler; used a crowbar; entered without force; struck while the occupants were out; made no attempt to avoid identification.,"The complainant reported house burglary that occurred between 2021-01-06T02:44:00 and 2021-01-06T05:29:00 in Nizamabad. It is stated that the accused targeted a row house, fled on a two-wheeler, got in through the door, appear to have watched the place beforehand, struck early in the morning, came on a two-wheeler, used a crowbar, entered without force, ransacked the place, struck while the occupants were out, were two or three persons and made no attempt to avoid identification. The total value of the stolen property is estimated at Rs. 97,400."
TG-NIZ-03/0003/2021,Nizamabad,TG-NIZ-03,MV Theft,2021-01-06T17:38:00,2021-01-07T00:10:00,2021-01-07T16:03:00,Accused were two or three persons; struck during the day; came on foot; stole a motorcycle; took it from residential parking; found the key left in the vehicle.,"Complaint received at TG-NIZ-03 (Nizamabad) regarding vehicle theft between 2021-01-06T17:38:00 and 2021-01-07T00:10:00. It is stated that the accused were two or three persons, struck during the day, used a screwdriver, took documents, took a vehicle, came on foot, stole a motorcycle, took it from residential parking and found the key left in the vehicle. The complainant does not suspect anyone. Nearby shops were closed at the time."
TG-HAN-03/0001/2021,Hanumakonda,TG-HAN-03,Chain Snatching,2021-01-06T07:28:00,2021-01-06T07:33:00,2021-01-08T00:50:00,Accused took gold ornaments; came on a two-wheeler; targeted a victim who was walking; fled on a two-wheeler; rode a motorcycle; wore gloves; escaped along the main road; left no sign of tools; were two or three persons; struck during the day; appear to have picked the target by chance.,"Case registered at TG-HAN-03 on a complaint of chain snatching committed between 2021-01-06T07:28:00 and 2021-01-06T07:33:00. It is stated that the accused took gold ornaments, came on a two-wheeler, targeted a victim who was walking, fled on a two-wheeler, rode a motorcycle, wore gloves, escaped along the main road, left no sign of tools, were two or three persons and struck during the day. A relative of the complainant was the first to notice. Street lights in the area were reported not working."
TG-RAN-06/0003/2021,Rangareddy,TG-RAN-06,MV Theft,2021-01-06T10:10:00,2021-01-06T16:56:00,2021-01-08T10:02:00,Accused took it from the roadside; came on foot; struck during the day; took a vehicle; stole a motorcycle; broke the handle lock; acted alone; wore gloves.,"Complaint received at TG-RAN-06 (Rangareddy) regarding vehicle theft between 2021-01-06T10:10:00 and 2021-01-06T16:56:00. It is stated that the accused took it from the roadside, came on foot, struck during the day, took a vehicle, stole a motorcycle, broke the handle lock, acted alone and wore gloves. Street lights in the area were reported not working. Fingerprint experts visited the scene."
TG-RAN-05/0002/2021,Rangareddy,TG-RAN-05,HB - Residential,2021-01-06T12:07:00,2021-01-07T15:33:00,2021-01-08T12:06:00,Accused used a crowbar; fled on foot; struck while the occupants were out; came on a two-wheeler; targeted an apartment; got in through the door; took gold ornaments; took cash; entered without force; made no attempt to avoid identification; were two or three persons.,"Case registered at TG-RAN-05 on a complaint of house burglary committed between 2021-01-06T12:07:00 and 2021-01-07T15:33:00. It is stated that the accused used a crowbar, fled on foot, struck while the occupants were out, came on a two-wheeler, targeted an apartment, got in through the door, took gold ornaments, took cash, entered without force, made no attempt to avoid identification and were two or three persons. Street lights in the area were reported not working. A spot panchnama was drawn up in the presence of witnesses."
TG-KAR-01/0001/2021,Karimnagar,TG-KAR-01,HB - Residential,2021-01-04T11:50:00,2021-01-07T01:48:00,2021-01-08T13:31:00,Accused struck while the occupants were out; took gold ornaments; took cash; took only selected valuables; got in through a window; targeted a shop-cum-residence; made no attempt to avoid identification; came on a two-wheeler; appear to have picked the target by chance; entered without force.,"Complaint received at TG-KAR-01 (Karimnagar) regarding house burglary between 2021-01-04T11:50:00 and 2021-01-07T01:48:00. It is stated that the accused struck while the occupants were out, took gold ornaments, took cash, were two or three persons, took only selected valuables, got in through a window, targeted a shop-cum-residence, made no attempt to avoid identification, came on a two-wheeler, appear to have picked the target by chance, fled on foot and entered without force. The dog squad was summoned to the spot. Fingerprint experts visited the scene."
TG-HAN-01/0002/2021,Hanumakonda,TG-HAN-01,HB - Residential,2021-01-06T23:18:00,2021-01-07T07:04:00,2021-01-08T17:50:00,Accused made no attempt to avoid identification; took gold ornaments; were two or three persons; struck at night; left no sign of tools; struck while the occupants were out; ransacked the place; came in a four-wheeler; entered without force.,"The complainant reported house burglary that occurred between 2021-01-06T23:18:00 and 2021-01-07T07:04:00 in Hanumakonda. It is stated that the accused made no attempt to avoid identification, took gold ornaments, were two or three persons, struck at night, left no sign of tools, struck while the occupants were out, appear to have picked the target by chance, ransacked the place, targeted an independent house, came in a four-wheeler and entered without force. A spot panchnama was drawn up in the presence of witnesses. Enquiries with nearby residents are in progress."
TG-RAN-06/0004/2021,Rangareddy,TG-RAN-06,MV Theft,2021-01-08,2021-01-09,2021-01-09T15:30:00,Accused acted alone; started it with a duplicate key; came on foot; stole a scooter; took it from the roadside; left no sign of tools; made no attempt to avoid identification.,"The complainant reported vehicle theft that occurred between 2021-01-08 and 2021-01-09 in Rangareddy. It is stated that the accused acted alone, came on foot, stole a scooter, appear to have picked the target by chance, took it from the roadside, left no sign of tools and made no attempt to avoid identification. The complainant has submitted bills for some of the items. Enquiries with nearby residents are in progress."
TG-KAR-04/0001/2021,Karimnagar,TG-KAR-04,HB - Commercial,2021-01-09T01:02:00,2021-01-09T07:58:00,2021-01-09T19:17:00,Accused targeted an apartment; fled on a two-wheeler; used a screwdriver; took gold ornaments; took cash; took electronic items; made no attempt to avoid identification; acted alone; climbed in via the balcony; took only selected valuables; struck early in the morning; came on a two-wheeler; struck while the occupants were out; broke the lock.,"Complaint received at TG-KAR-04 (Karimnagar) regarding break-in at commercial premises between 2021-01-09T01:02:00 and 2021-01-09T07:58:00. It is stated that the accused targeted an apartment, fled on a two-wheeler, used a screwdriver, took gold ornaments, took cash, took electronic items, made no attempt to avoid identification, climbed in via the balcony, took only selected valuables, struck early in the morning, came on a two-wheeler, struck while the occupants were out, appear to have watched the place beforehand and broke the lock. Fingerprint experts visited the scene. The complainant does not suspect anyone."
TG-HAN-07/0001/2021,Hanumakonda,TG-HAN-07,HB - Residential,2021-01-08T21:21:00,2021-01-09T08:18:00,2021-01-09T21:26:00,Accused fled on a two-wheeler; struck at night; were two or three persons; broke the lock; ransacked the place; wore gloves; took cash; climbed in via the balcony; came on a two-wheeler; struck while the occupants were out; left no sign of tools.,"Case registered at TG-HAN-07 on a complaint of house burglary committed between 2021-01-08T21:21:00 and 2021-01-09T08:18:00. It is stated that the accused fled on a two-wheeler, struck at night, broke the lock, ransacked the place, appear to have had inside information, climbed in via the balcony, came on a two-wheeler and struck while the occupants were out. Fingerprint experts visited the scene. Neighbours stated they did not hear anything unusual."
TG-HAN-02/0002/2021,Hanumakonda,TG-HAN-02,MV Theft,2021-01-08T04:48:00,2021-01-09T08:48:00,2021-01-09T22:18:00,Accused were two or three persons; took a vehicle; came on a two-wheeler; fled on a two-wheeler; took it from the roadside; left no sign of tools.,"The complainant reported vehicle theft that occurred between 2021-01-08T04:48:00 and 2021-01-09T08:48:00 in Hanumakonda. It is stated that the accused lifted or towed it away, took a vehicle, came on a two-wheeler, fled on a two-wheeler, took it from the roadside, left no sign of tools and stole a motorcycle. The complainant does not suspect anyone. The dog squad was summoned to the spot."
TG-RAN-02/0001/2021,Rangareddy,TG-RAN-02,MV Theft,2021-01-08,2021-01-09,2021-01-10T00:43:00,Accused acted alone; appear to have picked the target by chance; took a vehicle; left no sign of tools; fled in a four-wheeler; broke the handle lock; came on a two-wheeler; made no attempt to avoid identification.,"The complainant reported vehicle theft that occurred between 2021-01-08 and 2021-01-09 in Rangareddy. It is stated that the accused acted alone, appear to have picked the target by chance, took a vehicle, left no sign of tools, fled in a four-wheeler, broke the handle lock, took it from a market area, came on a two-wheeler and made no attempt to avoid identification. Nearby shops were closed at the time. The complainant has submitted bills for some of the items."
TG-NIZ-01/0003/2021,Nizamabad,TG-NIZ-01,HB - Residential,2021-01-09T09:39:00,2021-01-09T10:15:00,2021-01-10T03:37:00,Accused took only selected valuables; struck while the occupants were inside; left no sign of tools; broke the lock; targeted an apartment; came on a two-wheeler; were two or three persons; made no attempt to avoid identification; struck during the day; fled on a two-wheeler.,"Case registered at TG-NIZ-01 on a complaint of house burglary committed between 2021-01-09T09:39:00 and 2021-01-09T10:15:00. It is stated that the accused took only selected valuables, left no sign of tools, got in through a window, broke the lock, targeted an apartment, came on a two-wheeler, were two or three persons, made no attempt to avoid identification, struck during the day and fled on a two-wheeler. Nearby shops were closed at the time. Enquiries with nearby residents are in progress."
TG-HAN-04/0002/2021,Hanumakonda,TG-HAN-04,Chain Snatching,2021-01-09T20:38:00,2021-01-09T20:57:00,2021-01-10T07:51:00,Accused took gold ornaments; struck during the day; targeted a victim who was walking; escaped through the lanes; were two or three persons; fled on a two-wheeler; came on foot; rode a motorcycle.,"The complainant reported chain snatching that occurred between 2021-01-09T20:38:00 and 2021-01-09T20:57:00 in Hanumakonda. It is stated that the accused took gold ornaments, struck during the day, targeted a victim who was walking, escaped through the lanes, were two or three persons, fled on a two-wheeler, came on foot, rode a motorcycle and left no sign of tools. A spot panchnama was drawn up in the presence of witnesses. Neighbours stated they did not hear anything unusual."
TG-NIZ-07/0001/2021,Nizamabad,TG-NIZ-07,HB - Residential,2021-01-09,2021-01-09,2021-01-10T09:19:00,Accused cut the grill; took gold ornaments; came on a two-wheeler; had their faces covered; struck while the occupants were inside; were a group of four or more; targeted an apartment; ransacked the place; got in through the door.,"Case registered at TG-NIZ-07 on a complaint of house burglary committed between 2021-01-09 and 2021-01-09. It is stated that the accused cut the grill, fled on a two-wheeler, took gold ornaments, came on a two-wheeler, had their faces covered, struck while the occupants were inside, were a group of four or more, targeted an apartment, ransacked the place and got in through the door. Nearby shops were closed at the time. The beat constable had passed the area about an hour earlier."
TG-HAN-05/0002/2021,Hanumakonda,TG-HAN-05,HB - Residential,2021-01-09T11:59:00,2021-01-10T12:05:00,2021-01-10T14:27:00,Accused targeted an independent house; fled on foot; struck while the occupants were out; climbed in via the balcony; took gold ornaments; took cash; took documents; used a cutter; used a screwdriver; made no attempt to avoid identification; came on foot.,"The complainant reported house burglary that occurred between 2021-01-09T11:59:00 and 2021-01-10T12:05:00 in Hanumakonda. It is stated that the accused targeted an independent house, fled on foot, struck while the occupants were out, appear to have watched the place beforehand, climbed in via the balcony, took gold ornaments, took cash, took documents, took only selected valuables, used a cutter, used a screwdriver, broke the lock, made no attempt to avoid identification and came on foot. Street lights in the area were reported not working. The dog squad was summoned to the spot."
TG-HAN-06/0002/2021,Hanumakonda,TG-HAN-06,Chain Snatching,2021-01-09T11:43:00,2021-01-09T11:48:00,2021-01-10T18:24:00,Accused rode a scooter; fled on a two-wheeler; left no sign of tools; targeted a victim waiting for transport; made no attempt to avoid identification; took gold ornaments; struck during the day; were two or three persons; escaped along the main road.,"Complaint received at TG-HAN-06 (Hanumakonda) regarding chain snatching between 2021-01-09T11:43:00 and 2021-01-09T11:48:00. It is stated that the accused rode a scooter, fled on a two-wheeler, left no sign of tools, targeted a victim waiting for transport, made no attempt to avoid identification, took gold ornaments, struck during the day, were two or three persons and escaped along the main road. A relative of the complainant was the first to notice. The complainant noticed the incident on returning and informed the police."
TG-NIZ-01/0004/2021,Nizamabad,TG-NIZ-01,Chain Snatching,2021-01-10,2021-01-10,2021-01-10T22:37:00,Accused appear to have watched the place beforehand; fled on foot; were two or three persons; used no vehicle; took gold ornaments; came on foot; targeted a victim who was walking; escaped through the lanes; left no sign of tools.,"Complaint received at TG-NIZ-01 (Nizamabad) regarding chain snatching between 2021-01-10 and 2021-01-10. It is stated that the accused appear to have watched the place beforehand, fled on foot, were two or three persons, used no vehicle, came on foot, escaped through the lanes and left no sign of tools. Nearby shops were closed at the time. The dog squad was summoned to the spot."
TG-KAR-03/0001/2021,Karimnagar,TG-KAR-03,MV Theft,2021-01-08T04:51:00,2021-01-08T19:10:00,2021-01-10T22:47:00,Accused took a vehicle; came on a two-wheeler; made no attempt to avoid identification; acted alone; broke the handle lock; fled on a two-wheeler; stole a scooter; used a screwdriver.,"Case registered at TG-KAR-03 on a complaint of vehicle theft committed between 2021-01-08T04:51:00 and 2021-01-08T19:10:00. It is stated that the accused took a vehicle, came on a two-wheeler, acted alone, took it from residential parking, broke the handle lock, fled on a two-wheeler, stole a scooter and used a screwdriver. The complainant has submitted bills for some of the items. It had been raining heavily that evening."
TG-NIZ-03/0004/2021,Nizamabad,TG-NIZ-03,HB - Residential,2021-01-10T18:05:00,2021-01-11T07:49:00,2021-01-12T02:29:00,Accused struck while the occupants were out; targeted an independent house; were two or three persons; fled on a two-wheeler; went straight to where the valuables were kept; came on a two-wheeler; broke the lock; took gold ornaments; took cash; took electronic items; left no sign of tools; got in through the door; made no attempt to avoid identification.,"Complaint received at TG-NIZ-03 (Nizamabad) regarding house burglary between 2021-01-10T18:05:00 and 2021-01-11T07:49:00. It is stated that the accused struck while the occupants were out, targeted an independent house, were two or three persons, fled on a two-wheeler, went straight to where the valuables were kept, came on a two-wheeler, took gold ornaments, took cash, took electronic items, left no sign of tools, got in through the door and made no attempt to avoid identification. Neighbours stated they did not hear anything unusual. Nearby shops were closed at the time."
