FIR_NO,DISTRICT,POLICE_STATION,CRIME_HEAD,OCCURRENCE_FROM,OCCURRENCE_TO,REGISTRATION_DATE,NO_OF_ACCUSED,WEAPONS_TOOLS,CONCEALMENT,TARGET_TYPE,PROPERTY_STOLEN,MODE_OF_ARRIVAL,MODE_OF_ESCAPE,PLACE_OF_ENTRY,MODE_OF_ENTRY,PREMISES_TYPE,PREMISES_STATUS,SEARCH_TYPE,VEHICLE_TYPE,VEHICLE_START_METHOD,PARKING_PLACE,OFFENDER_VEHICLE,VICTIM_ACTIVITY,ESCAPE_ROUTE,ATM_SITE_TYPE,ATM_ATTACK,ALARM_STATUS,FIR_CONTENTS
MH-KOL-05/0001/2021,Kolhapur,MH-KOL-05,MOTOR VEHICLE THEFT,03/01/2021 02:31,03/01/2021 05:38,03/01/2021 16:50,ONE,,NIL,CHANCE,VEHICLE,ON FOOT,TWO WHEELER,,,,,,SCOOTER,DUPLICATE KEY,RLY STN / BUS STAND,,,,,,,"Complainant reports that a vehicle theft took place within MH-KOL-05 police station limits, Kolhapur, between 03/01/2021 02:31 and 03/01/2021 05:38. It is stated that the accused struck early in the morning, acted alone, came on foot, took a vehicle, appear to have picked the target by chance, fled on a two-wheeler, started it with a duplicate key, made no attempt to avoid identification, took it from station parking and stole a scooter. Nearby shops were closed at the time. The beat constable had passed the area about an hour earlier."
MH-NAS-07/0001/2021,Nashik,MH-NAS-07,ATM TAMPERING,02/01/2021 17:53,03/01/2021 21:37,04/01/2021 03:54,2 TO 3,CUTTER;SCREW DRIVER,,,CASH,FOUR WHEELER,TWO WHEELER,,,,,,,,,,,,OFFSITE ATM,CASH TRAP,ALARM INTACT,"As per the complaint, unknown persons committed ATM tampering in Nashik (MH-NAS-07) sometime between 02/01/2021 17:53 and 03/01/2021 21:37. It is stated that the accused were two or three persons, targeted an offsite ATM kiosk, came in a four-wheeler, fitted a cash trap, used a cutter, used a screwdriver and took cash. It had been raining heavily that evening. Nearby shops were closed at the time."
MH-KOL-06/0001/2021,Kolhapur,MH-KOL-06,ATM TAMPERING,03/01/2021 00:23,03/01/2021 12:53,04/01/2021 04:53,,SCREW DRIVER,,,CASH,FOUR WHEELER,,,,,,,,,,,,,BRANCH ATM,CASH TRAP,ALARM INTACT,"As per the complaint, unknown persons committed ATM tampering in Kolhapur (MH-KOL-06) sometime between 03/01/2021 00:23 and 03/01/2021 12:53. It is stated that the accused left the alarm untouched, took cash, fitted a cash trap and came in a four-wheeler. A relative of the complainant was the first to notice. Nearby shops were closed at the time."
MH-THA-04/0001/2021,Thane,MH-THA-04,CHAIN SNATCHING,02/01/2021 05:21,02/01/2021 05:31,04/01/2021 06:06,2 TO 3,,FACE MASKED,,GOLD ORNAMENTS,TWO WHEELER,TWO WHEELER,,,,,,,,,MOTOR CYCLE,WALKING,BY LANES,,,,"On receipt of information, it was learnt that a chain snatching occurred in Thane between 02/01/2021 05:21 and 02/01/2021 05:31. It is stated that the accused fled on a two-wheeler, escaped through the lanes, struck early in the morning, had their faces covered, took gold ornaments, targeted a victim who was walking, rode a motorcycle, came on a two-wheeler and were two or three persons. The dog squad was summoned to the spot. The complainant noticed the incident on returning and informed the police."
MH-THA-04/0002/2021,Thane,MH-THA-04,CHAIN SNATCHING,04/01/2021 03:10,04/01/2021 03:13,04/01/2021 09:12,2 TO 3,NIL,NIL,CHANCE,GOLD ORNAMENTS;ELECTRONIC ITEMS,TWO WHEELER,TWO WHEELER,,,,,,,,,MOTOR CYCLE,MORNING WALK,MAIN ROAD,,,,"Complainant reports that a chain snatching took place within MH-THA-04 police station limits, Thane, between 04/01/2021 03:10 and 04/01/2021 03:13. It is stated that the accused came on a two-wheeler, took gold ornaments, took electronic items, fled on a two-wheeler, struck at night, appear to have picked the target by chance, left no sign of tools, targeted a victim on a morning walk, escaped along the main road and rode a motorcycle. The complainant has submitted bills for some of the items. The complainant noticed the incident on returning and informed the police."
MH-NAS-04/0001/2021,Nashik,MH-NAS-04,MOTOR VEHICLE THEFT,04/01/2021 00:36,04/01/2021 08:12,04/01/2021 11:31,2 TO 3,NIL,NIL,,VEHICLE,TWO WHEELER,TWO WHEELER,,,,,,SCOOTER,DIRECT CONNECTION,PAY AND PARK,,,,,,,"Complainant reports that a vehicle theft took place within MH-NAS-04 police station limits, Nashik, between 04/01/2021 00:36 and 04/01/2021 08:12. It is stated that the accused took a vehicle, left no sign of tools, stole a scooter, fled on a two-wheeler, took it from a public parking lot, were two or three persons and struck early in the morning. The complainant noticed the incident on returning and informed the police. Street lights in the area were reported not working."
MH-PUN-06/0001/2021,Pune,MH-PUN-06,CHAIN SNATCHING,04/01/2021 05:54,04/01/2021 06:01,04/01/2021 15:27,,NIL,,CHANCE,NIL,TWO WHEELER,ON FOOT,,,,,,,,,MOTOR CYCLE,WALKING,BY LANES,,,,"As per the complaint, unknown persons committed chain snatching in Pune (MH-PUN-06) sometime between 04/01/2021 05:54 and 04/01/2021 06:01. It is stated that the accused left no sign of tools, came on a two-wheeler, struck early in the morning, took nothing, rode a motorcycle, escaped through the lanes, fled on foot, targeted a victim who was walking and appear to have picked the target by chance. The beat constable had passed the area about an hour earlier. The complainant has submitted bills for some of the items."
MH-NAG-07/0002/2021,Nagpur,MH-NAG-07,MOTOR VEHICLE THEFT,03/01/2021 12:06,04/01/2021 13:14,04/01/2021 15:40,2 TO 3,NIL,NIL,,,TWO WHEELER,TWO WHEELER,,,,,,MOTOR CYCLE,DIRECT CONNECTION,MARKET AREA,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Nagpur between 03/01/2021 12:06 and 04/01/2021 13:14. It is stated that the accused were two or three persons, took it from a market area, took a vehicle, left no sign of tools, came on a two-wheeler, stole a motorcycle and started it by joining the wires. A relative of the complainant was the first to notice. The complainant does not suspect anyone."
MH-KOL-06/0002/2021,Kolhapur,MH-KOL-06,SHOP BREAKING,03/01/2021 18:10,04/01/2021 06:09,04/01/2021 18:46,4 AND ABOVE,CROWBAR;SCREW DRIVER,CCTV DAMAGED,CHANCE,ELECTRONIC ITEMS;DOCUMENTS,FOUR WHEELER,FOUR WHEELER,SHUTTER,DOOR FORCED,SHOP,CLOSED FOR NIGHT,,,,,,,,,,,"Complainant reports that a break-in at commercial premises took place within MH-KOL-06 police station limits, Kolhapur, between 03/01/2021 18:10 and 04/01/2021 06:09. It is stated that the accused appear to have picked the target by chance, got in by lifting the shutter, came in a four-wheeler, disabled the CCTV camera, were a group of four or more, struck while the premises were closed for the night, took electronic items, took documents, struck at night, targeted a shop, used a crowbar and used a screwdriver. The complainant has submitted bills for some of the items. A spot panchnama was drawn up in the presence of witnesses."
MH-PUN-06/0002/2021,Pune,MH-PUN-06,SHOP BREAKING,03/01/2021 20:57,04/01/2021 07:41,04/01/2021 20:13,2 TO 3,NIL,NIL,,,ON FOOT,ON FOOT,SHUTTER,DOOR FORCED,SHOP,CLOSED FOR NIGHT,,,,,,,,,,,"As per the complaint, unknown persons committed break-in at commercial premises in Pune (MH-PUN-06) sometime between 03/01/2021 20:57 and 04/01/2021 07:41. It is stated that the accused struck at night, left no sign of tools, came on foot, forced the door open, made no attempt to avoid identification and fled on foot. A relative of the complainant was the first to notice. Street lights in the area were reported not working."
MH-PUN-02/0001/2021,Pune,MH-PUN-02,HOUSE BREAKING,02/01/2021 19:55,03/01/2021 08:03,04/01/2021 20:53,4 AND ABOVE,CROWBAR,HAND GLOVES,CHANCE,CASH,TWO WHEELER,TWO WHEELER,MAIN DOOR,,BUNGALOW,LOCKED - OWNER OUT,SELECTIVE,,,,,,,,,,"Complainant reports that a house burglary took place within MH-PUN-02 police station limits, Pune, between 02/01/2021 19:55 and 03/01/2021 08:03. It is stated that the accused took cash, got in through the door, fled on a two-wheeler, appear to have picked the target by chance, struck while the occupants were out, targeted an independent house, used a crowbar and came on a two-wheeler. Fingerprint experts visited the scene. Street lights in the area were reported not working."
MH-KOL-08/0001/2021,Kolhapur,MH-KOL-08,HOUSE BREAKING,03/01/2021 09:05,03/01/2021 22:48,04/01/2021 23:19,ONE,NIL,NIL,CHANCE,GOLD ORNAMENTS,ON FOOT,,WINDOW,LOCK BROKEN,FLAT,LOCKED - OWNER OUT,RANSACKED,,,,,,,,,,"On receipt of information, it was learnt that a house burglary occurred in Kolhapur between 03/01/2021 09:05 and 03/01/2021 22:48. It is stated that the accused acted alone, left no sign of tools, appear to have picked the target by chance, targeted an apartment, struck while the occupants were out, got in through a window, took gold ornaments, came on foot and ransacked the place. The total value of the stolen property is estimated at Rs. 42,895. A spot panchnama was drawn up in the presence of witnesses."
MH-KOL-06/0003/2021,Kolhapur,MH-KOL-06,HOUSE BREAKING,03/01/2021 23:57,04/01/2021 01:13,05/01/2021 06:55,ONE,NIL,,,GOLD ORNAMENTS,TWO WHEELER,TWO WHEELER,BALCONY,LOCK BROKEN,,LOCKED - OWNER OUT,,,,,,,,,,,"As per the complaint, unknown persons committed house burglary in Kolhapur (MH-KOL-06) sometime between 03/01/2021 23:57 and 04/01/2021 01:13. It is stated that the accused struck while the occupants were out, struck at night, acted alone, came on a two-wheeler and fled on a two-wheeler. A spot panchnama was drawn up in the presence of witnesses. The total value of the stolen property is estimated at Rs. 389,566."
MH-PUN-03/0001/2021,Pune,MH-PUN-03,MOTOR VEHICLE THEFT,04/01/2021 03:24,04/01/2021 19:29,05/01/2021 10:20,2 TO 3,SCREW DRIVER,NIL,,VEHICLE,ON FOOT,TWO WHEELER,,,,,,MOTOR CYCLE,KEY IN VEHICLE,PAY AND PARK,,,,,,,"Complainant reports that a vehicle theft took place within MH-PUN-03 police station limits, Pune, between 04/01/2021 03:24 and 04/01/2021 19:29. It is stated that the accused used a screwdriver, took it from a public parking lot, took a vehicle, stole a motorcycle, were two or three persons, made no attempt to avoid identification, fled on a two-wheeler and found the key left in the vehicle. The complainant does not suspect anyone. The complainant noticed the incident on returning and informed the police."
MH-PUN-08/0001/2021,Pune,MH-PUN-08,SHOP BREAKING,04/01/2021 14:00,05/01/2021 00:42,05/01/2021 13:46,ONE,SCREW DRIVER,,CHANCE,ELECTRONIC ITEMS,FOUR WHEELER,FOUR WHEELER,SHUTTER,NO FORCE,,,SELECTIVE,,,,,,,,,,"Complainant reports that a break-in at commercial premises took place within MH-PUN-08 police station limits, Pune, between 04/01/2021 14:00 and 05/01/2021 00:42. It is stated that the accused used a screwdriver, came in a four-wheeler, took electronic items, took only selected valuables, got in by lifting the shutter, appear to have picked the target by chance and struck during the day. Fingerprint experts visited the scene. It had been raining heavily that evening."
MH-PUN-03/0002/2021,Pune,MH-PUN-03,HOUSE BREAKING,04/01/2021 15:23,05/01/2021 06:17,05/01/2021 15:13,2 TO 3,NIL,FACE MASKED,,GOLD ORNAMENTS,TWO WHEELER,TWO WHEELER,MAIN DOOR,DOOR FORCED,BUNGALOW,LOCKED - OWNER OUT,RANSACKED,,,,,,,,,,"Complainant reports that a house burglary took place within MH-PUN-03 police station limits, Pune, between 04/01/2021 15:23 and 05/01/2021 06:17. It is stated that the accused had their faces covered, struck while the occupants were out, left no sign of tools, ransacked the place, fled on a two-wheeler, were two or three persons, forced the door open, targeted an independent house, got in through the door, took gold ornaments, appear to have picked the target by chance and came on a two-wheeler. Fingerprint experts visited the scene. The complainant has submitted bills for some of the items."
MH-NAG-01/0001/2021,Nagpur,MH-NAG-01,MOTOR VEHICLE THEFT,02/01/2021 00:16,04/01/2021 03:19,05/01/2021 22:50,2 TO 3,NIL,HAND GLOVES,CHANCE,VEHICLE,ON FOOT,TWO WHEELER,,,,,,MOTOR CYCLE,TOWED AWAY,SOCIETY PARKING,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Nagpur (MH-NAG-01) sometime between 02/01/2021 00:16 and 04/01/2021 03:19. It is stated that the accused lifted or towed it away, fled on a two-wheeler, were two or three persons, wore gloves, took it from residential parking, stole a motorcycle, appear to have picked the target by chance, left no sign of tools, took a vehicle and came on foot. The complainant noticed the incident on returning and informed the police. It had been raining heavily that evening."
MH-THA-05/0001/2021,Thane,MH-THA-05,HOUSE BREAKING,28/12/2020 03:09,04/01/2021 08:58,05/01/2021 23:36,2 TO 3,CUTTER,NIL,CHANCE,GOLD ORNAMENTS;CASH;ELECTRONIC ITEMS,ON FOOT,TWO WHEELER,MAIN DOOR,DOOR FORCED,BUNGALOW,LOCKED - OWNER OUT,RANSACKED,,,,,,,,,,"Complainant reports that a house burglary took place within MH-THA-05 police station limits, Thane, between 28/12/2020 03:09 and 04/01/2021 08:58. It is stated that the accused struck while the occupants were out, appear to have picked the target by chance, fled on a two-wheeler, used a cutter, came on foot, made no attempt to avoid identification, forced the door open, ransacked the place and were two or three persons. Enquiries with nearby residents are in progress. The total value of the stolen property is estimated at Rs. 161,869."
MH-NAG-04/0001/2021,Nagpur,MH-NAG-04,HOUSE BREAKING,06/01/2021 02:19,06/01/2021 03:00,06/01/2021 06:02,ONE,NIL,NIL,CHANCE,NIL,TWO WHEELER,TWO WHEELER,BALCONY,LOCK BROKEN,FLAT,OCCUPIED,RANSACKED,,,,,,,,,,"On receipt of information, it was learnt that a house burglary occurred in Nagpur between 06/01/2021 02:19 and 06/01/2021 03:00. It is stated that the accused fled on a two-wheeler, left no sign of tools, made no attempt to avoid identification, climbed in via the balcony, struck while the occupants were inside, broke the lock, acted alone and targeted an apartment. Neighbours stated they did not hear anything unusual. Enquiries with nearby residents are in progress."
MH-NAS-01/0001/2021,Nashik,MH-NAS-01,MOTOR VEHICLE THEFT,04/01/2021,05/01/2021,06/01/2021 07:22,2 TO 3,SCREW DRIVER,NIL,,VEHICLE,TWO WHEELER,TWO WHEELER,,,,,,MOTOR CYCLE,TOWED AWAY,ROADSIDE,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Nashik between 04/01/2021 and 05/01/2021. It is stated that the accused lifted or towed it away, took a vehicle, appear to have picked the target by chance, took it from the roadside, came on a two-wheeler, made no attempt to avoid identification and stole a motorcycle. The total value of the stolen property is estimated at Rs. 336,192. The complainant does not suspect anyone."
MH-KOL-06/0004/2021,Kolhapur,MH-KOL-06,ATM TAMPERING,05/01/2021 16:13,06/01/2021 02:18,06/01/2021 18:46,ONE,CUTTER;GAS CUTTER,CCTV DAMAGED,INSIDE INFORMATION,CASH,FOUR WHEELER,FOUR WHEELER,,,,,,,,,,,,WHITE LABEL ATM,FORCIBLY OPENED,ALARM DISABLED,"As per the complaint, unknown persons committed ATM tampering in Kolhapur (MH-KOL-06) sometime between 05/01/2021 16:13 and 06/01/2021 02:18. It is stated that the accused appear to have had inside information, fled in a four-wheeler, struck during the day, took cash, targeted a white-label ATM, used a cutter and used a gas cutter. A spot panchnama was drawn up in the presence of witnesses. Neighbours stated they did not hear anything unusual."
MH-NAG-01/0002/2021,Nagpur,MH-NAG-01,MOTOR VEHICLE THEFT,05/01/2021 04:58,06/01/2021 04:36,06/01/2021 18:57,ONE,NIL,NIL,INSIDE INFORMATION,VEHICLE,ON FOOT,FOUR WHEELER,,,,,,,DIRECT CONNECTION,MARKET AREA,,,,,,,"Complainant reports that a vehicle theft took place within MH-NAG-01 police station limits, Nagpur, between 05/01/2021 04:58 and 06/01/2021 04:36. It is stated that the accused stole a car, took it from a market area, came on foot, acted alone, left no sign of tools, started it by joining the wires, took a vehicle and appear to have had inside information. The complainant does not suspect anyone. Nearby shops were closed at the time."
MH-PUN-03/0003/2021,Pune,MH-PUN-03,HOUSE BREAKING,19/12/2020 23:29,06/01/2021 08:20,06/01/2021 19:31,,SCREW DRIVER,NIL,,,TWO WHEELER,TWO WHEELER,MAIN DOOR,,BUNGALOW,LOCKED - OUT OF STATION,RANSACKED,,,,,,,,,,"As per the complaint, unknown persons committed house burglary in Pune (MH-PUN-03) sometime between 19/12/2020 23:29 and 06/01/2021 08:20. It is stated that the accused made no attempt to avoid identification, fled on a two-wheeler, were two or three persons, got in through the door, ransacked the place, targeted an independent house, struck while the house was locked for days and came on a two-wheeler. Street lights in the area were reported not working. It had been raining heavily that evening."
MH-KOL-03/0001/2021,Kolhapur,MH-KOL-03,ATM TAMPERING,04/01/2021 19:10,05/01/2021 06:27,06/01/2021 20:55,4 AND ABOVE,NIL,CCTV DAMAGED,RECCE DONE,CASH,,FOUR WHEELER,,,,,,,,,,,,OFFSITE ATM,FORCIBLY OPENED,ALARM INTACT,"Complainant reports that a ATM tampering took place within MH-KOL-03 police station limits, Kolhapur, between 04/01/2021 19:10 and 05/01/2021 06:27. It is stated that the accused were a group of four or more, left no sign of tools, appear to have watched the place beforehand, fled in a four-wheeler, took cash, disabled the CCTV camera, targeted an offsite ATM kiosk and struck at night. The complainant has submitted bills for some of the items. The complainant does not suspect anyone."
MH-THA-02/0001/2021,Thane,MH-THA-02,MOTOR VEHICLE THEFT,05/01/2021 19:09,06/01/2021 06:49,07/01/2021 00:59,ONE,NIL,NIL,CHANCE,VEHICLE,TWO WHEELER,TWO WHEELER,,,,,,MOTOR CYCLE,DUPLICATE KEY,ROADSIDE,,,,,,,"Complainant reports that a vehicle theft took place within MH-THA-02 police station limits, Thane, between 05/01/2021 19:09 and 06/01/2021 06:49. It is stated that the accused started it with a duplicate key, stole a motorcycle, left no sign of tools, appear to have picked the target by chance, acted alone and made no attempt to avoid identification. Street lights in the area were reported not working. The dog squad was summoned to the spot."
MH-THA-06/0001/2021,Thane,MH-THA-06,MOTOR VEHICLE THEFT,06/01/2021 16:05,06/01/2021 19:43,07/01/2021 02:30,ONE,NIL,FACE MASKED,,VEHICLE,ON FOOT,TWO WHEELER,,,,,,MOTOR CYCLE,HANDLE LOCK BROKEN,MARKET AREA,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Thane between 06/01/2021 16:05 and 06/01/2021 19:43. It is stated that the accused took it from a market area, came on foot, fled on a two-wheeler, acted alone, stole a motorcycle and struck during the day. The complainant has submitted bills for some of the items. Fingerprint experts visited the scene."
MH-NAG-07/0003/2021,Nagpur,MH-NAG-07,MOTOR VEHICLE THEFT,05/01/2021 22:36,06/01/2021 07:06,07/01/2021 03:11,ONE,CROWBAR,NIL,CHANCE,VEHICLE,TWO WHEELER,TWO WHEELER,,,,,,MOTOR CYCLE,DUPLICATE KEY,ROADSIDE,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Nagpur between 05/01/2021 22:36 and 06/01/2021 07:06. It is stated that the accused took it from the roadside, stole a motorcycle, used a crowbar, struck at night, appear to have picked the target by chance, took a vehicle, acted alone and came on a two-wheeler. The beat constable had passed the area about an hour earlier. The dog squad was summoned to the spot."
MH-NAS-03/0002/2021,Nashik,MH-NAS-03,MOTOR VEHICLE THEFT,05/01/2021 15:09,06/01/2021 21:01,07/01/2021 03:45,ONE,SCREW DRIVER,NIL,CHANCE,VEHICLE,ON FOOT,FOUR WHEELER,,,,,,GOODS VEHICLE,DUPLICATE KEY,SOCIETY PARKING,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Nashik between 05/01/2021 15:09 and 06/01/2021 21:01. It is stated that the accused came on foot, fled in a four-wheeler, took a vehicle, used a screwdriver, started it with a duplicate key, took it from residential parking, stole a goods vehicle and acted alone. Fingerprint experts visited the scene. Enquiries with nearby residents are in progress."
MH-NAS-01/0002/2021,Nashik,MH-NAS-01,HOUSE BREAKING,05/01/2021 00:14,06/01/2021 04:59,07/01/2021 04:31,2 TO 3,NIL,FACE MASKED,,ELECTRONIC ITEMS;DOCUMENTS,FOUR WHEELER,ON FOOT,MAIN DOOR,NO FORCE,BUNGALOW,LOCKED - OWNER OUT,RANSACKED,,,,,,,,,,"Complainant reports that a house burglary took place within MH-NAS-01 police station limits, Nashik, between 05/01/2021 00:14 and 06/01/2021 04:59. It is stated that the accused took electronic items, took documents, struck while the occupants were out, ransacked the place, came in a four-wheeler, got in through the door, targeted an independent house, fled on foot, left no sign of tools and had their faces covered. The complainant does not suspect anyone. A relative of the complainant was the first to notice."
